Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr7,64712803,64721441,8639,40,0.101,0.306,0.454,0.451,hyper,Block:6720
chr7,64726848,64734443,7596,76,-0.116,0.57,0.575,0.515,hypo,Block:6721
chr7,64734744,64835128,100385,414,-0.22,0.771,0.543,0.535,hypo,Block:6722
chr7,64866062,64970373,104312,375,-0.16,0.8,0.486,0.488,hypo,Block:6723
chr7,64975075,64983581,8507,6,-0.089,0.463,0.522,0.696,hypo,Block:6724
chr7,65030991,65042169,11179,12,-0.153,0.574,0.43,0.399,hypo,Block:6725
chr7,65054804,65092267,37464,79,-0.168,0.632,0.579,0.571,hypo,Block:6726
chr7,65145924,65168330,22407,17,-0.17,0.789,0.628,0.525,hypo,Block:6727
chr7,65190005,65207910,17906,101,0.09,0.684,0.479,0.525,hyper,Block:6728
chr7,65216541,65225640,9100,39,-0.068,0.436,0.63,0.596,hypo,Block:6729
chr7,65271829,65337895,66067,202,-0.071,0.818,0.499,0.501,hypo,Block:6730
chr7,65510615,65540524,29910,154,-0.195,0.722,0.494,0.501,hypo,Block:6731
chr7,65569577,65576401,6825,32,0.058,0.508,0.553,0.563,hyper,Block:6732
chr7,65630192,65669863,39672,210,-0.153,0.664,0.51,0.511,hypo,Block:6733
chr7,65671036,65844831,173796,833,-0.156,0.812,0.547,0.554,hypo,Block:6734
chr7,65959161,65997346,38186,339,-0.114,0.74,0.542,0.549,hypo,Block:6735
chr7,66035092,66050975,15884,70,0.154,0.639,0.441,0.428,hyper,Block:6736
chr7,66062172,66088782,26611,145,-0.108,0.765,0.529,0.505,hypo,Block:6737
chr7,66094431,66100307,5877,53,0.068,0.389,0.564,0.562,hyper,Block:6738
chr7,66124492,66130057,5566,39,0.051,0.778,0.548,0.515,hyper,Block:6739
chr7,66171314,66180474,9161,26,-0.053,0.942,0.791,0.779,hypo,Block:6740
chr7,66212076,66217255,5180,38,0.064,0.573,0.64,0.612,hyper,Block:6741
chr7,66278638,66309485,30848,146,-0.121,0.683,0.457,0.434,hypo,Block:6742
chr7,66318566,66324015,5450,17,0.049,0.731,0.776,0.768,hyper,Block:6743
chr7,66431776,66441153,9378,76,-0.05,0.842,0.555,0.546,hypo,Block:6744
chr7,66804283,69056971,2252689,13569,-0.226,0.735,0.499,0.5,hypo,Block:6745
chr7,69070219,69648599,578381,3031,-0.264,0.719,0.585,0.589,hypo,Block:6746
chr7,69676958,69898669,221712,1268,-0.082,0.825,0.542,0.55,hypo,Block:6747
chr7,70126093,70134230,8138,77,0.052,0.828,0.54,0.498,hyper,Block:6748
chr7,70189720,70205805,16086,135,-0.094,0.748,0.54,0.535,hypo,Block:6749
chr7,70263130,70589934,326805,1794,-0.236,0.724,0.503,0.501,hypo,Block:6750
chr7,70603939,71794745,1190807,8221,-0.229,0.758,0.507,0.51,hypo,Block:6751
chr7,71811523,72045199,233677,1392,-0.202,0.777,0.477,0.479,hypo,Block:6752
chr7,72291452,72298343,6892,16,-0.066,0.518,0.494,0.499,hypo,Block:6753
chr7,72335967,72355344,19378,15,-0.135,0.758,0.403,0.311,hypo,Block:6754
chr7,72407824,72419716,11893,29,0.084,0.698,0.493,0.425,hyper,Block:6755
chr7,72645372,72674406,29035,20,-0.123,0.839,0.518,0.644,hypo,Block:6756
chr7,72724542,72847538,122997,1029,-0.147,0.714,0.525,0.529,hypo,Block:6757
chr7,72995997,73011078,15082,162,-0.075,0.625,0.486,0.53,hypo,Block:6758
chr7,73021747,73029565,7819,73,0.073,0.497,0.481,0.517,hyper,Block:6759
chr7,73066923,73081771,14849,91,-0.11,0.469,0.484,0.506,hypo,Block:6760
chr7,73144941,73152524,7584,102,-0.126,0.435,0.472,0.488,hypo,Block:6761
chr7,73207968,73222249,14282,64,-0.068,0.639,0.471,0.48,hypo,Block:6762
chr7,73235297,73252548,17252,216,-0.12,0.482,0.463,0.497,hypo,Block:6763
chr7,73263463,73269902,6440,52,-0.098,0.499,0.525,0.539,hypo,Block:6764
chr7,73270255,73391944,121690,1048,-0.162,0.754,0.503,0.499,hypo,Block:6765
chr7,73407860,73494994,87135,1109,-0.112,0.667,0.498,0.492,hypo,Block:6766
chr7,73500476,73514700,14225,199,0.097,0.695,0.5,0.502,hyper,Block:6767
chr7,73536347,73579856,43510,260,-0.111,0.818,0.497,0.492,hypo,Block:6768
chr7,73593687,73601043,7357,57,0.081,0.578,0.64,0.618,hyper,Block:6769
chr7,73616534,73637309,20776,264,-0.105,0.607,0.528,0.513,hypo,Block:6770
chr7,73669188,73686339,17152,172,-0.077,0.502,0.502,0.497,hypo,Block:6771
chr7,73714642,73727041,12400,125,0.07,0.71,0.569,0.57,hyper,Block:6772
chr7,73779310,73786229,6920,34,-0.066,0.791,0.476,0.496,hypo,Block:6773
chr7,73823313,73835895,12583,77,-0.076,0.688,0.413,0.437,hypo,Block:6774
chr7,73868081,73894794,26714,389,-0.104,0.543,0.516,0.516,hypo,Block:6775
chr7,73911632,73920125,8494,111,0.052,0.801,0.535,0.515,hyper,Block:6776
chr7,74021161,74049949,28789,219,-0.074,0.656,0.456,0.458,hypo,Block:6777
chr7,74058028,74066280,8253,50,-0.081,0.539,0.531,0.525,hypo,Block:6778
chr7,74076419,74086788,10370,66,0.075,0.687,0.526,0.548,hyper,Block:6779
chr7,74360569,74367949,7381,3,-0.115,0.819,0.406,0.395,hypo,Block:6780
chr7,74480712,74487180,6469,42,0.166,0.457,0.402,0.358,hyper,Block:6781
chr7,75131972,75141565,9594,3,0.084,0.466,0.339,0.302,hyper,Block:6782
chr7,75161458,75264752,103295,898,-0.094,0.858,0.502,0.487,hypo,Block:6783
chr7,75269587,75368014,98428,694,-0.168,0.718,0.465,0.489,hypo,Block:6784
chr7,75369111,75503808,134698,791,-0.137,0.713,0.505,0.496,hypo,Block:6785
chr7,75522467,75543829,21363,141,-0.107,0.665,0.528,0.529,hypo,Block:6786
chr7,75573071,75581179,8109,90,-0.056,0.875,0.547,0.587,hypo,Block:6787
chr7,75678441,75686006,7566,83,-0.066,0.566,0.591,0.581,hypo,Block:6788
chr7,75758796,75765435,6640,29,-0.072,0.799,0.336,0.387,hypo,Block:6789
chr7,75797063,75831052,33990,243,-0.127,0.577,0.517,0.51,hypo,Block:6790
chr7,75831678,75864232,32555,274,-0.15,0.507,0.526,0.509,hypo,Block:6791
chr7,75864628,75885360,20733,160,-0.133,0.572,0.519,0.52,hypo,Block:6792
chr7,75896975,75911778,14804,231,-0.075,0.416,0.497,0.48,hypo,Block:6793
chr7,75924901,75931693,6793,48,-0.054,0.36,0.429,0.489,hypo,Block:6794
chr7,75933063,75940133,7071,89,-0.055,0.403,0.495,0.46,hypo,Block:6795
chr7,75969133,75981050,11918,95,-0.067,0.799,0.387,0.395,hypo,Block:6796
chr7,75993662,75998920,5259,40,-0.053,0.568,0.497,0.513,hypo,Block:6797
chr7,76089900,76102447,12548,9,-0.083,0.733,0.684,0.541,hypo,Block:6798
chr7,76356950,76427652,70703,87,-0.071,0.835,0.531,0.504,hypo,Block:6799
chr7,76517445,76588979,71535,75,-0.087,0.752,0.48,0.479,hypo,Block:6800
chr7,76820570,76842751,22182,100,0.062,0.678,0.478,0.508,hyper,Block:6801
chr7,77047208,77094276,47069,289,-0.095,0.762,0.507,0.499,hypo,Block:6802
chr7,77105752,77161990,56239,230,-0.08,0.761,0.537,0.528,hypo,Block:6803
chr7,77309943,77325343,15401,113,-0.073,0.53,0.444,0.416,hypo,Block:6804
chr7,77331310,77346580,15271,75,0.079,0.659,0.64,0.668,hyper,Block:6805
chr7,77434687,77446204,11518,32,-0.057,0.599,0.734,0.719,hypo,Block:6806
chr7,77580674,77643927,63254,364,-0.144,0.823,0.523,0.53,hypo,Block:6807
chr7,77649564,78813991,1164428,5192,-0.279,0.746,0.494,0.494,hypo,Block:6808
chr7,78847287,79071857,224571,861,-0.215,0.729,0.477,0.472,hypo,Block:6809
chr7,79092573,79760082,667510,2614,-0.259,0.758,0.508,0.508,hypo,Block:6810
chr7,79764944,80356784,591841,2468,-0.224,0.754,0.523,0.522,hypo,Block:6811
chr7,80393695,80478641,84947,383,0.075,0.778,0.469,0.476,hyper,Block:6812
chr7,80498808,80507149,8342,54,-0.054,0.743,0.493,0.49,hypo,Block:6813
chr7,80541689,80548273,6585,40,-0.072,0.431,0.383,0.369,hypo,Block:6814
chr7,80548752,80573650,24899,143,-0.078,0.529,0.511,0.486,hypo,Block:6815
chr7,80588784,80608753,19970,102,-0.054,0.813,0.453,0.478,hypo,Block:6816
chr7,80695755,80755825,60071,273,-0.073,0.808,0.544,0.545,hypo,Block:6817
chr7,80829203,81033248,204046,869,-0.085,0.801,0.493,0.502,hypo,Block:6818
chr7,81084866,82065278,980413,3965,-0.292,0.733,0.485,0.488,hypo,Block:6819
chr7,82081640,82791634,709995,2722,-0.202,0.752,0.499,0.494,hypo,Block:6820
chr7,82792483,83592949,800467,3025,-0.283,0.713,0.503,0.504,hypo,Block:6821
chr7,83823355,84799327,975973,3594,-0.259,0.737,0.493,0.492,hypo,Block:6822
chr7,84805761,84814815,9055,48,0.109,0.381,0.571,0.553,hyper,Block:6823
chr7,84816285,84822433,6149,43,0.092,0.398,0.498,0.494,hyper,Block:6824
chr7,84829210,86668664,1839455,6374,-0.254,0.72,0.488,0.486,hypo,Block:6825
chr7,86681830,86688819,6990,66,-0.102,0.495,0.434,0.413,hypo,Block:6826
chr7,86689285,86779294,90010,325,-0.178,0.664,0.463,0.478,hypo,Block:6827
chr7,86794799,86803441,8643,35,0.055,0.683,0.542,0.505,hyper,Block:6828
chr7,86826543,86844543,18001,96,0.073,0.682,0.463,0.487,hyper,Block:6829
chr7,86853106,86948728,95623,259,-0.183,0.679,0.513,0.508,hypo,Block:6830
chr7,87006701,87104672,97972,426,-0.132,0.763,0.494,0.499,hypo,Block:6831
chr7,87106731,87229519,122789,516,-0.089,0.705,0.476,0.482,hypo,Block:6832
chr7,87258503,87461569,203067,583,-0.241,0.781,0.531,0.544,hypo,Block:6833
chr7,87537203,87552311,15109,80,-0.074,0.802,0.477,0.436,hypo,Block:6834
chr7,87575743,87827859,252117,924,-0.18,0.825,0.568,0.573,hypo,Block:6835
chr7,87865156,87922414,57259,214,-0.088,0.749,0.528,0.521,hypo,Block:6836
chr7,87928368,88373218,444851,1795,-0.225,0.742,0.536,0.532,hypo,Block:6837
chr7,88403566,89735061,1331496,4385,-0.291,0.727,0.496,0.495,hypo,Block:6838
chr7,89956393,89975232,18840,110,-0.06,0.517,0.484,0.436,hypo,Block:6839
chr7,90063344,90220932,157589,576,-0.142,0.758,0.513,0.505,hypo,Block:6840
chr7,90232196,90888189,655994,2843,-0.292,0.814,0.555,0.558,hypo,Block:6841
chr7,90905271,91492200,586930,2120,-0.286,0.767,0.487,0.493,hypo,Block:6842
chr7,91519404,91569966,50563,175,-0.132,0.648,0.495,0.543,hypo,Block:6843
chr7,91584692,91597992,13301,43,0.065,0.743,0.621,0.666,hyper,Block:6844
chr7,91745913,91757453,11541,42,0.063,0.699,0.369,0.368,hyper,Block:6845
chr7,91767798,91800045,32248,116,-0.128,0.708,0.536,0.525,hypo,Block:6846
chr7,91810006,91820031,10026,21,0.052,0.535,0.613,0.625,hyper,Block:6847
chr7,92038654,92070094,31441,240,-0.11,0.663,0.473,0.499,hypo,Block:6848
chr7,92146445,92151595,5151,17,0.051,0.518,0.608,0.567,hyper,Block:6849
chr7,92165815,92183404,17590,103,-0.067,0.824,0.508,0.509,hypo,Block:6850
chr7,92222819,92244927,22109,122,-0.071,0.666,0.466,0.487,hypo,Block:6851
chr7,92441867,92461101,19235,71,0.161,0.407,0.36,0.362,hyper,Block:6852
chr7,92468948,92863507,394560,1601,-0.177,0.746,0.524,0.527,hypo,Block:6853
chr7,92983940,93199192,215253,842,-0.264,0.731,0.522,0.527,hypo,Block:6854
chr7,93226383,93504121,277739,937,-0.124,0.713,0.517,0.519,hypo,Block:6855
chr7,93510931,93519220,8290,41,0.104,0.443,0.47,0.471,hyper,Block:6856
chr7,93520217,93526051,5835,36,0.087,0.436,0.586,0.587,hyper,Block:6857
chr7,93533381,93633368,99988,485,-0.183,0.645,0.496,0.501,hypo,Block:6858
chr7,93634006,94134812,500807,2339,-0.269,0.699,0.481,0.482,hypo,Block:6859
chr7,94146108,94165280,19173,71,0.083,0.627,0.598,0.559,hyper,Block:6860
chr7,94190252,94280767,90516,351,-0.208,0.813,0.453,0.457,hypo,Block:6861
chr7,94294339,94536823,242485,865,-0.241,0.761,0.503,0.498,hypo,Block:6862
chr7,94537584,94887917,350334,1222,-0.078,0.797,0.562,0.561,hypo,Block:6863
chr7,94920735,95025514,104780,493,-0.191,0.755,0.465,0.464,hypo,Block:6864
chr7,95064464,95216797,152334,763,-0.153,0.697,0.522,0.514,hypo,Block:6865
chr7,95250110,95401359,151250,630,-0.192,0.69,0.485,0.488,hypo,Block:6866
chr7,95402459,95751723,349265,1804,-0.244,0.68,0.528,0.53,hypo,Block:6867
chr7,95964693,96298169,333477,1360,-0.205,0.753,0.513,0.512,hypo,Block:6868
chr7,96332552,96338785,6234,34,-0.076,0.671,0.402,0.42,hypo,Block:6869
chr7,96339331,96612021,272691,1158,-0.225,0.696,0.484,0.496,hypo,Block:6870
chr7,96616148,96634509,18362,396,0.184,0.219,0.489,0.477,hyper,Block:6871
chr7,96635764,96645742,9979,198,0.192,0.162,0.504,0.51,hyper,Block:6872
chr7,96646647,96651915,5269,196,0.257,0.144,0.45,0.45,hyper,Block:6873
chr7,96654230,96659268,5039,93,0.17,0.226,0.491,0.48,hyper,Block:6874
chr7,96662480,96739093,76614,292,-0.222,0.653,0.513,0.505,hypo,Block:6875
chr7,96804192,97349719,545528,2112,-0.23,0.762,0.492,0.485,hypo,Block:6876
chr7,97395470,97408773,13304,57,-0.106,0.755,0.525,0.527,hypo,Block:6877
chr7,97430319,97484727,54409,214,-0.13,0.766,0.453,0.449,hypo,Block:6878
chr7,97507657,97556859,49203,34,-0.061,0.573,0.532,0.427,hypo,Block:6879
chr7,97558507,97591109,32603,93,-0.074,0.82,0.556,0.534,hypo,Block:6880
chr7,97603967,97722134,118168,722,-0.151,0.706,0.506,0.511,hypo,Block:6881
chr7,97763852,97783031,19180,162,-0.06,0.879,0.575,0.567,hypo,Block:6882
chr7,97977786,97999783,21998,235,-0.106,0.755,0.504,0.51,hypo,Block:6883
chr7,98015950,98021385,5436,43,0.052,0.603,0.49,0.514,hyper,Block:6884
chr7,98046651,98099806,53156,421,-0.145,0.718,0.523,0.504,hypo,Block:6885
chr7,98100412,98237080,136669,1033,-0.145,0.707,0.518,0.517,hypo,Block:6886
chr7,98240403,98245771,5369,36,0.157,0.303,0.507,0.499,hyper,Block:6887
chr7,98253776,98462956,209181,1826,-0.193,0.699,0.504,0.512,hypo,Block:6888
chr7,98468104,98475615,7512,69,0.062,0.299,0.5,0.516,hyper,Block:6889
chr7,98758471,98809841,51371,346,-0.072,0.798,0.483,0.476,hypo,Block:6890
chr7,98821222,98907865,86644,844,-0.096,0.804,0.49,0.492,hypo,Block:6891
chr7,98981308,98990136,8829,132,0.079,0.664,0.492,0.49,hyper,Block:6892
chr7,98990975,98999744,8770,124,0.1,0.576,0.466,0.523,hyper,Block:6893
chr7,99127949,99144379,16431,141,-0.056,0.924,0.497,0.503,hypo,Block:6894
chr7,99183953,99214098,30146,235,-0.156,0.674,0.494,0.519,hypo,Block:6895
chr7,99354937,99491629,136693,565,-0.095,0.782,0.513,0.513,hypo,Block:6896
chr7,99524561,99551280,26720,137,-0.079,0.674,0.519,0.492,hypo,Block:6897
chr7,99559725,99587874,28150,202,-0.066,0.736,0.441,0.446,hypo,Block:6898
chr7,99637993,99649687,11695,121,-0.077,0.542,0.535,0.538,hypo,Block:6899
chr7,99671700,99678733,7034,76,-0.083,0.553,0.474,0.444,hypo,Block:6900
chr7,99786439,99802728,16290,115,-0.081,0.783,0.518,0.5,hypo,Block:6901
chr7,99840555,99868907,28353,106,-0.07,0.765,0.433,0.421,hypo,Block:6902
chr7,99870201,99877037,6837,16,-0.068,0.629,0.754,0.592,hypo,Block:6903
chr7,99966729,100020119,53391,354,-0.156,0.768,0.474,0.475,hypo,Block:6904
chr7,100039929,100054567,14639,143,-0.068,0.641,0.505,0.477,hypo,Block:6905
chr7,100063093,100075262,12170,195,0.08,0.55,0.498,0.538,hyper,Block:6906
chr7,100082476,100091143,8668,171,-0.108,0.518,0.528,0.569,hypo,Block:6907
chr7,100091622,100132914,41293,184,-0.153,0.71,0.552,0.56,hypo,Block:6908
chr7,100189593,100201587,11995,134,-0.092,0.502,0.487,0.488,hypo,Block:6909
chr7,100234403,100254003,19601,261,-0.136,0.636,0.479,0.485,hypo,Block:6910
chr7,100292613,100302651,10039,83,-0.071,0.355,0.56,0.529,hypo,Block:6911
chr7,100304162,100310144,5983,75,-0.08,0.473,0.474,0.465,hypo,Block:6912
chr7,100318718,100342786,24069,211,-0.137,0.606,0.452,0.495,hypo,Block:6913
chr7,100346035,100398583,52549,554,-0.161,0.696,0.5,0.485,hypo,Block:6914
chr7,100501495,100541628,40134,202,-0.101,0.734,0.514,0.549,hypo,Block:6915
chr7,100616245,100630979,14735,85,0.065,0.644,0.521,0.515,hyper,Block:6916
chr7,100638830,100657083,18254,93,0.058,0.813,0.469,0.437,hyper,Block:6917
chr7,100701852,100768428,66577,726,-0.109,0.687,0.495,0.49,hypo,Block:6918
chr7,100897102,100937018,39917,325,-0.12,0.667,0.521,0.523,hypo,Block:6919
chr7,100941408,100955858,14451,188,0.094,0.545,0.49,0.454,hyper,Block:6920
chr7,100965500,100998658,33159,249,-0.156,0.684,0.522,0.515,hypo,Block:6921
chr7,101011168,101210797,199630,1960,-0.198,0.692,0.529,0.524,hypo,Block:6922
chr7,101251220,101290396,39177,456,-0.129,0.69,0.49,0.47,hypo,Block:6923
chr7,101332606,101380581,47976,520,-0.114,0.629,0.501,0.475,hypo,Block:6924
chr7,101387188,101451229,64042,572,-0.146,0.66,0.489,0.491,hypo,Block:6925
chr7,101513237,101529207,15971,205,-0.082,0.724,0.601,0.567,hypo,Block:6926
chr7,101575293,101588156,12864,197,-0.087,0.671,0.542,0.527,hypo,Block:6927
chr7,101660660,101670525,9866,110,-0.05,0.904,0.51,0.529,hypo,Block:6928
chr7,101682406,101687499,5094,61,0.048,0.87,0.584,0.577,hyper,Block:6929
chr7,101731020,101746489,15470,183,-0.12,0.776,0.545,0.527,hypo,Block:6930
chr7,101903688,101920815,17128,250,-0.083,0.802,0.525,0.529,hypo,Block:6931
chr7,101958287,101982097,23811,233,-0.141,0.748,0.541,0.538,hypo,Block:6932
chr7,102042617,102070210,27594,304,0.084,0.7,0.558,0.541,hyper,Block:6933
chr7,102146477,102159881,13405,6,-0.12,0.584,0.798,0.812,hypo,Block:6934
chr7,102236701,102246426,9726,11,-0.089,0.679,0.409,0.423,hypo,Block:6935
chr7,102331598,102389404,57807,57,-0.115,0.618,0.439,0.467,hypo,Block:6936
chr7,102419227,102431123,11897,17,0.048,0.797,0.634,0.646,hyper,Block:6937
chr7,102573331,102607082,33752,137,-0.061,0.829,0.465,0.497,hypo,Block:6938
chr7,102667148,102672228,5081,21,-0.047,0.859,0.524,0.526,hypo,Block:6939
chr7,102769130,102789370,20241,107,-0.085,0.541,0.42,0.407,hypo,Block:6940
chr7,102790168,102799427,9260,49,-0.104,0.466,0.487,0.51,hypo,Block:6941
chr7,102812814,102822834,10021,14,0.075,0.783,0.414,0.434,hyper,Block:6942
chr7,102998210,103084288,86079,409,-0.158,0.743,0.51,0.487,hypo,Block:6943
chr7,103092731,103624152,531422,2376,-0.272,0.712,0.477,0.48,hypo,Block:6944
chr7,103630684,103637732,7049,69,0.099,0.309,0.59,0.535,hyper,Block:6945
chr7,103641849,103767812,125964,528,-0.25,0.714,0.519,0.51,hypo,Block:6946
chr7,103849778,103958474,108697,422,-0.251,0.666,0.516,0.503,hypo,Block:6947
chr7,103978260,104578763,600504,2700,-0.227,0.717,0.505,0.503,hypo,Block:6948
chr7,104597924,104619599,21676,92,0.071,0.65,0.523,0.535,hyper,Block:6949
chr7,104659726,104678130,18405,75,0.141,0.452,0.641,0.648,hyper,Block:6950
chr7,105034550,105091055,56506,255,-0.118,0.79,0.53,0.531,hypo,Block:6951
chr7,105219705,105247353,27649,247,-0.102,0.741,0.475,0.474,hypo,Block:6952
chr7,105284087,105290673,6587,58,-0.052,0.712,0.506,0.515,hypo,Block:6953
chr7,105326128,105334409,8282,104,0.067,0.645,0.424,0.474,hyper,Block:6954
chr7,105592221,105717898,125678,1128,-0.1,0.748,0.503,0.51,hypo,Block:6955
chr7,105741015,105751866,10852,55,0.074,0.483,0.484,0.446,hyper,Block:6956
chr7,105762433,105890222,127790,728,-0.141,0.771,0.538,0.54,hypo,Block:6957
chr7,105930195,105935576,5382,36,-0.049,0.391,0.498,0.541,hypo,Block:6958
chr7,105963852,106055096,91245,397,-0.066,0.82,0.513,0.517,hypo,Block:6959
chr7,106089853,106237438,147586,670,-0.156,0.813,0.477,0.478,hypo,Block:6960
chr7,106302117,106371748,69632,204,-0.2,0.669,0.483,0.486,hypo,Block:6961
chr7,106405321,106684638,279318,1478,-0.228,0.803,0.492,0.488,hypo,Block:6962
chr7,106685906,106805051,119146,622,-0.242,0.746,0.564,0.558,hypo,Block:6963
chr7,106817932,106833599,15668,73,0.069,0.666,0.615,0.605,hyper,Block:6964
chr7,107130110,107154599,24490,88,-0.064,0.867,0.381,0.376,hypo,Block:6965
chr7,107303387,107383206,79820,367,-0.162,0.676,0.504,0.515,hypo,Block:6966
chr7,107459238,107531437,72200,409,-0.084,0.674,0.532,0.527,hypo,Block:6967
chr7,107582933,107638145,55213,464,0.071,0.767,0.445,0.457,hyper,Block:6968
chr7,107660496,108089223,428728,2201,-0.238,0.756,0.479,0.484,hypo,Block:6969
chr7,108097344,108103505,6162,44,0.087,0.333,0.479,0.495,hyper,Block:6970
chr7,108109229,108121827,12599,55,-0.06,0.875,0.49,0.512,hypo,Block:6971
chr7,108167136,108185896,18761,78,-0.103,0.567,0.488,0.507,hypo,Block:6972
chr7,108217612,110648801,2431190,8810,-0.245,0.746,0.498,0.501,hypo,Block:6973
chr7,110665572,110741630,76059,308,-0.066,0.831,0.44,0.439,hypo,Block:6974
chr7,110977136,111018118,40983,140,-0.052,0.891,0.399,0.392,hypo,Block:6975
chr7,111161349,111188655,27307,104,0.093,0.766,0.421,0.427,hyper,Block:6976
chr7,111202755,111841643,638889,3262,-0.155,0.787,0.461,0.462,hypo,Block:6977
chr7,111897673,111914275,16603,70,-0.049,0.873,0.506,0.494,hypo,Block:6978
chr7,111981484,112031430,49947,261,-0.148,0.799,0.491,0.471,hypo,Block:6979
chr7,112032566,112075488,42923,195,-0.11,0.72,0.51,0.504,hypo,Block:6980
chr7,112136118,112187994,51877,296,-0.127,0.809,0.525,0.535,hypo,Block:6981
chr7,112408655,112415971,7317,28,-0.052,0.794,0.388,0.424,hypo,Block:6982
chr7,112580252,113721967,1141716,3972,-0.265,0.705,0.496,0.496,hypo,Block:6983
chr7,113731380,113736578,5199,27,0.062,0.606,0.426,0.435,hyper,Block:6984
chr7,113789769,113804052,14284,50,-0.052,0.794,0.572,0.567,hypo,Block:6985
chr7,113937422,113989569,52148,191,-0.057,0.76,0.549,0.582,hypo,Block:6986
chr7,114015765,114033051,17287,53,-0.047,0.755,0.538,0.565,hypo,Block:6987
chr7,114078228,114146321,68094,223,-0.075,0.801,0.53,0.555,hypo,Block:6988
chr7,114197456,114273796,76341,290,-0.088,0.795,0.537,0.523,hypo,Block:6989
chr7,114308262,114558567,250306,1081,-0.275,0.804,0.495,0.504,hypo,Block:6990
chr7,114573721,115845714,1271994,4929,-0.284,0.783,0.498,0.504,hypo,Block:6991
chr7,115898917,116139731,240815,992,-0.215,0.742,0.471,0.474,hypo,Block:6992
chr7,116140409,116162453,22045,120,-0.11,0.482,0.519,0.547,hypo,Block:6993
chr7,116166755,116309985,143231,772,-0.129,0.699,0.477,0.483,hypo,Block:6994
chr7,116427864,116496304,68441,375,-0.077,0.703,0.501,0.487,hypo,Block:6995
chr7,116558715,116593873,35159,287,-0.101,0.526,0.511,0.54,hypo,Block:6996
chr7,116868696,116951374,82679,542,-0.225,0.771,0.514,0.518,hypo,Block:6997
chr7,116955435,116962817,7383,70,0.098,0.388,0.468,0.485,hyper,Block:6998
chr7,116964841,116970360,5520,27,0.088,0.377,0.47,0.483,hyper,Block:6999
chr7,116977387,117044336,66950,253,-0.155,0.765,0.44,0.445,hypo,Block:7000
chr7,117109367,117131937,22571,139,-0.099,0.487,0.558,0.526,hypo,Block:7001
chr7,117151468,117226410,74943,250,0.091,0.712,0.544,0.559,hyper,Block:7002
chr7,117300259,117320863,20605,114,-0.086,0.719,0.552,0.517,hypo,Block:7003
chr7,117384544,117436697,52154,309,-0.084,0.81,0.455,0.464,hypo,Block:7004
chr7,117460302,117496244,35943,153,-0.073,0.787,0.489,0.482,hypo,Block:7005
chr7,117531311,117814046,282736,1104,-0.13,0.753,0.495,0.493,hypo,Block:7006
chr7,117856531,117913400,56870,218,-0.137,0.759,0.549,0.558,hypo,Block:7007
chr7,117970353,119906785,1936433,6581,-0.27,0.723,0.508,0.51,hypo,Block:7008
chr7,119918569,120433390,514822,2178,-0.283,0.716,0.511,0.504,hypo,Block:7009
chr7,120500472,120590544,90073,331,-0.121,0.642,0.475,0.48,hypo,Block:7010
chr7,120628056,120969564,341509,1425,-0.204,0.731,0.513,0.514,hypo,Block:7011
chr7,120970869,120978784,7916,51,-0.055,0.5,0.536,0.516,hypo,Block:7012
chr7,121010645,121035785,25141,130,0.064,0.602,0.376,0.39,hyper,Block:7013
chr7,121046645,121356196,309552,1191,-0.162,0.779,0.533,0.532,hypo,Block:7014
chr7,121373716,121503032,129317,499,-0.235,0.707,0.498,0.491,hypo,Block:7015
chr7,121515923,121776952,261030,1105,-0.259,0.739,0.517,0.519,hypo,Block:7016
chr7,121787774,121928363,140590,461,-0.158,0.679,0.489,0.486,hypo,Block:7017
chr7,121950975,121956502,5528,108,0.163,0.145,0.461,0.498,hyper,Block:7018
chr7,121969084,122005185,36102,162,-0.07,0.813,0.493,0.48,hypo,Block:7019
chr7,122045764,122181011,135248,555,-0.08,0.79,0.469,0.465,hypo,Block:7020
chr7,122273801,122289214,15414,75,-0.053,0.797,0.45,0.487,hypo,Block:7021
chr7,122323559,122331178,7620,54,-0.058,0.827,0.452,0.46,hypo,Block:7022
chr7,122530115,123172567,642453,2204,-0.254,0.718,0.498,0.496,hypo,Block:7023
chr7,123199418,123321248,121831,605,-0.248,0.746,0.483,0.485,hypo,Block:7024
chr7,123434567,123666871,232305,838,-0.162,0.754,0.525,0.528,hypo,Block:7025
chr7,123684580,124397959,713380,2661,-0.283,0.711,0.511,0.512,hypo,Block:7026
chr7,124410959,124470571,59613,252,-0.19,0.728,0.522,0.502,hypo,Block:7027
chr7,124570226,126085673,1515448,5321,-0.281,0.72,0.499,0.504,hypo,Block:7028
chr7,126412575,126428191,15617,61,0.057,0.798,0.445,0.412,hyper,Block:7029
chr7,126482567,126631628,149062,471,0.064,0.779,0.454,0.47,hyper,Block:7030
chr7,126692194,126756584,64391,265,0.075,0.754,0.465,0.439,hyper,Block:7031
chr7,126831011,126885364,54354,282,0.083,0.753,0.449,0.468,hyper,Block:7032
chr7,126898116,126924690,26575,122,0.065,0.703,0.513,0.529,hyper,Block:7033
chr7,126959664,126983168,23505,116,-0.066,0.693,0.485,0.494,hypo,Block:7034
